2026-07-22 06:52:13 [INFO] System Tray initialized. Application is running in the background.
2026-07-22 06:52:14 [INFO] All sub-systems initialised.
2026-07-22 06:52:14 [INFO] [state_change] from_state=IDLE | to_state=SCANNING
2026-07-22 06:52:14 [INFO] WorkflowEngine started — user='phan'  table={'left': 53, 'top': 601, 'width': 1484, 'height': 290}
2026-07-22 06:52:20 [INFO] Automation DISABLED (F8)
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:05 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:06 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:07 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:07 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:07 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:07 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:07 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:08 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:08 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:08 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:08 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:08 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:09 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:09 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:09 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:09 [INFO] [loop_tick] state=SCANNING | rows=6 | claims=0
2026-07-22 06:57:09 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=3 | claims=0
2026-07-22 06:57:10 [INFO] [loop_tick] state=SCANNING | rows=4 | claims=0
2026-07-22 06:57:11 [INFO] [loop_tick] state=SCANNING | rows=5 | claims=0
2026-07-22 06:57:11 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:11 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:11 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:12 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:12 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:12 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:12 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:13 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:13 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:13 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:13 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:13 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:14 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:14 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:14 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:15 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:16 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:17 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:18 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:19 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:19 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:19 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:19 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:20 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:20 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:20 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:20 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:20 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:21 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:21 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:21 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:21 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:22 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:22 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:22 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:22 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:23 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=1 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:24 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:25 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:26 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:27 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
2026-07-22 06:57:28 [INFO] [loop_tick] state=SCANNING | rows=2 | claims=0
